model,material,structure,property,unit,predicted,reference,rel_err,rel_err_pct
mace-mpa-0-medium,Si,diamond,vacancy_formation_energy,eV,2.518926651,3.63,-0.306081,-30.6081
mace-mpa-0-medium,Si,diamond,cohesive_energy,eV/atom,4.588368178,,,
mace-mpa-0-medium,MgO,rocksalt,a0,Angstrom,4.256476762,4.255,0.000347065,0.0347
mace-mpa-0-medium,MgO,rocksalt,B0,GPa,148.119307,149,-0.00591069,-0.5911
mace-mpa-0-medium,MgO,rocksalt,B0_prime,dimensionless,4.241328248,4,0.0603321,6.0332
mace-mpa-0-medium,MgO,rocksalt,cohesive_energy,eV/atom,5.201172655,,,
mace-mpa-0-medium,NaCl,rocksalt,a0,Angstrom,5.713497406,5.7,0.00236797,0.2368
mace-mpa-0-medium,NaCl,rocksalt,B0,GPa,20.90367754,23.6,-0.114251,-11.4251
mace-mpa-0-medium,NaCl,rocksalt,B0_prime,dimensionless,3.860217261,5.09,-0.241608,-24.1608
mace-mpa-0-medium,NaCl,rocksalt,cohesive_energy,eV/atom,3.142986742,,,
mace-mpa-0-medium,NiAl,b2,a0,Angstrom,2.884634451,2.88,0.00160918,0.1609
mace-mpa-0-medium,NiAl,b2,B0,GPa,170.5191862,166,0.027224,2.7224
mace-mpa-0-medium,NiAl,b2,B0_prime,dimensionless,5.259216641,,,
mace-mpa-0-medium,NiAl,b2,formation_enthalpy,eV/atom,-0.6592730647,-0.6586,-0.00102196,-0.1022
mace-mpa-0-medium,NiAl,b2,cohesive_energy,eV/atom,4.846863716,,,
mace-mpa-0-medium,Ni3Al,l12,a0,Angstrom,3.561369037,3.565,-0.0010185,-0.1019
mace-mpa-0-medium,Ni3Al,l12,B0,GPa,159.382935,175,-0.0892404,-8.9240
mace-mpa-0-medium,Ni3Al,l12,B0_prime,dimensionless,4.918595327,,,
mace-mpa-0-medium,Ni3Al,l12,formation_enthalpy,eV/atom,-0.4262637141,-0.4325,0.0144192,1.4419
mace-mpa-0-medium,Ni3Al,l12,cohesive_energy,eV/atom,4.945793989,,,
